query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lp_1622,220668.lp_1622,1.84E-160,449,"COG1564@1|root,COG1564@2|Bacteria,1VA0W@1239|Firmicutes,4HHS1@91061|Bacilli,3F4N8@33958|Lactobacillaceae",2|Bacteria,H,thiamine pyrophosphokinase,thiN,-,2.7.6.2,ko:K00949,"ko00730,ko01100,map00730,map01100",-,R00619,"RC00002,RC00017","ko00000,ko00001,ko01000",-,-,-,"TPK_B1_binding,TPK_catalytic"
lp_1624,1136177.KCA1_1389,1.61E-36,123,"COG0227@1|root,COG0227@2|Bacteria,1VEI2@1239|Firmicutes,4HNIK@91061|Bacilli,3F7ZN@33958|Lactobacillaceae",2|Bacteria,J,Belongs to the bacterial ribosomal protein bL28 family,rpmB,"GO:0003674,GO:0003735,GO:0005198",-,ko:K02902,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L28
lp_1625,1136177.KCA1_1390,7.09E-76,227,"COG1302@1|root,COG1302@2|Bacteria,1V731@1239|Firmicutes,4HIS4@91061|Bacilli,3F72W@33958|Lactobacillaceae",2|Bacteria,S,"Asp23 family, cell envelope-related function",asp,-,-,-,-,-,-,-,-,-,-,-,Asp23
lp_1626,220668.lp_1626,0,1083,"COG1461@1|root,COG1461@2|Bacteria,1TQMX@1239|Firmicutes,4HBSE@91061|Bacilli,3F3X0@33958|Lactobacillaceae",2|Bacteria,S,DAK2 domain fusion protein YloV,yloV,-,-,ko:K07030,-,-,-,-,ko00000,-,-,-,"Dak1_2,Dak2"
lp_1627,220668.lp_1627,0,1310,"COG1200@1|root,COG1200@2|Bacteria,1TQ6I@1239|Firmicutes,4HAWN@91061|Bacilli,3F3JW@33958|Lactobacillaceae",2|Bacteria,L,Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA),recG,"GO:0003674,GO:0003678,GO:0003724,GO:0003824,GO:0004003,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006725,GO:0006807,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0008186,GO:0009314,GO:0009379,GO:0009628,GO:0009987,GO:0010501,GO:0016020,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0032991,GO:0033202,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048476,GO:0050896,GO:0051276,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0140097,GO:0140098,GO:1901360,GO:1902494",3.6.4.12,ko:K03655,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"DEAD,Helicase_C,RecG_wedge"
lp_1628,220668.lp_1628,2.17E-244,672,"COG0416@1|root,COG0416@2|Bacteria,1TPXS@1239|Firmicutes,4HA0R@91061|Bacilli,3F4N9@33958|Lactobacillaceae",2|Bacteria,I,"Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA",plsX,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",2.3.1.15,ko:K03621,"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110",M00089,"R00851,R09380","RC00004,RC00039,RC00041","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,FA_synthesis
lp_1629,220668.lp_1629,3.33E-47,151,"COG0236@1|root,COG0236@2|Bacteria,1VEE3@1239|Firmicutes,4HNQ0@91061|Bacilli,3F7F4@33958|Lactobacillaceae",2|Bacteria,IQ,Carrier of the growing fatty acid chain in fatty acid biosynthesis,acpP,"GO:0000035,GO:0000036,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016053,GO:0019637,GO:0019752,GO:0019842,GO:0031177,GO:0032787,GO:0033218,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044620,GO:0046394,GO:0046467,GO:0046493,GO:0048037,GO:0051192,GO:0071704,GO:0072330,GO:0072341,GO:0090407,GO:0140104,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509",-,ko:K02078,-,-,-,-,"ko00000,ko00001",-,-,-,PP-binding
lp_1631,220668.lp_1631,4.49E-167,466,"COG0571@1|root,COG0571@2|Bacteria,1TPGC@1239|Firmicutes,4HAWU@91061|Bacilli,3F564@33958|Lactobacillaceae",2|Bacteria,J,"Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism",rnc,"GO:0003674,GO:0003676,GO:0003723,GO:0003725,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004525,GO:0004540,GO:0005488,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0032296,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0097159,GO:0140098,GO:1901360,GO:1901363",3.1.26.3,ko:K03685,"ko03008,ko05205,map03008,map05205",-,-,-,"ko00000,ko00001,ko01000,ko03009,ko03019,ko03036",-,-,-,"Ribonucleas_3_3,dsrm"
lp_1632,220668.lp_1632,0,2037,"COG1196@1|root,COG1196@2|Bacteria,1TPJV@1239|Firmicutes,4HB89@91061|Bacilli,3F478@33958|Lactobacillaceae",2|Bacteria,D,Required for chromosome condensation and partitioning,smc,-,-,ko:K03529,-,-,-,-,"ko00000,ko03036",-,-,-,"SMC_N,SMC_hinge"
lp_1633,220668.lp_1633,0.00E+00,850,"COG0552@1|root,COG0552@2|Bacteria,1TPRI@1239|Firmicutes,4HA6A@91061|Bacilli,3F3YC@33958|Lactobacillaceae",2|Bacteria,U,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),ftsY,-,-,ko:K03110,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2,3.A.5.7",-,-,"SRP54,SRP54_N"
lp_1634,220668.lp_1634,1.46E-77,231,"COG2739@1|root,COG2739@2|Bacteria,1VEGP@1239|Firmicutes,4HKK6@91061|Bacilli,3F7FG@33958|Lactobacillaceae",2|Bacteria,S,Might take part in the signal recognition particle (SRP) pathway. This is inferred from the conservation of its genetic proximity to ftsY ffh. May be a regulatory protein,ylxM,"GO:0003674,GO:0008150,GO:0030234,GO:0030695,GO:0050790,GO:0060589,GO:0065007,GO:0065009,GO:0098772",-,ko:K09787,-,-,-,-,ko00000,-,-,-,UPF0122
lp_1635,220668.lp_1635,9.38E-301,826,"COG0541@1|root,COG0541@2|Bacteria,1TP06@1239|Firmicutes,4H9T4@91061|Bacilli,3F40R@33958|Lactobacillaceae",2|Bacteria,U,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY,ffh,"GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944",3.6.5.4,ko:K03106,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko01000,ko02044","3.A.5.1,3.A.5.2,3.A.5.7,3.A.5.8,3.A.5.9",-,-,"SRP54,SRP54_N,SRP_SPB"
lp_1636,1136177.KCA1_1400,1.60E-58,181,"COG0228@1|root,COG0228@2|Bacteria,1VA0X@1239|Firmicutes,4HKNN@91061|Bacilli,3F6VV@33958|Lactobacillaceae",2|Bacteria,J,Belongs to the bacterial ribosomal protein bS16 family,rpsP,"GO:0000028,GO:0000217,GO:0000400,GO:0003674,GO:0003676,GO:0003677,GO:0003735,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006259,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0016787,GO:0016788,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02959,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011,ko03029",-,-,-,Ribosomal_S16
lp_1637,220668.lp_1637,9.99E-53,166,"COG1837@1|root,COG1837@2|Bacteria,1VEG7@1239|Firmicutes,4HNX0@91061|Bacilli,3F829@33958|Lactobacillaceae",2|Bacteria,S,Belongs to the UPF0109 family,ylqC,-,-,ko:K06960,-,-,-,-,ko00000,-,-,-,KH_4
lp_1638,220668.lp_1638,2.24E-123,351,"COG0806@1|root,COG0806@2|Bacteria,1V6HD@1239|Firmicutes,4HH3H@91061|Bacilli,3F74P@33958|Lactobacillaceae",2|Bacteria,J,"An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes",rimM,"GO:0000028,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016072,GO:0022607,GO:0022613,GO:0022618,GO:0030490,GO:0034470,GO:0034622,GO:0034641,GO:0034660,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:1901360",-,ko:K02860,-,-,-,-,"ko00000,ko03009",-,-,-,"PRC,RimM"
lp_1639,220668.lp_1639,1.57E-179,499,"COG0336@1|root,COG0336@2|Bacteria,1TPBV@1239|Firmicutes,4HBFV@91061|Bacilli,3F3NP@33958|Lactobacillaceae",2|Bacteria,J,Belongs to the RNA methyltransferase TrmD family,trmD,"GO:0000287,GO:0001510,GO:0002939,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009019,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0016772,GO:0016779,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0040007,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0050518,GO:0052906,GO:0070567,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360","2.1.1.228,4.6.1.12","ko:K00554,ko:K01770","ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,"R00597,R05637","RC00002,RC00003,RC00334,RC01440","ko00000,ko00001,ko00002,ko01000,ko03016",-,-,-,tRNA_m1G_MT
lp_1640,220668.lp_1640,3.15E-78,233,"COG0335@1|root,COG0335@2|Bacteria,1V6FT@1239|Firmicutes,4HIK3@91061|Bacilli,3F6K4@33958|Lactobacillaceae",2|Bacteria,J,This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site,rplS,"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070180,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02884,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L19
lp_1642,220668.lp_1642,4.72E-72,216,"2FI7A@1|root,349ZW@2|Bacteria,1W0B2@1239|Firmicutes,4HY9R@91061|Bacilli,3F7DI@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EntA_Immun
lp_1643,220668.lp_1643,0,3836,"COG3266@1|root,COG5295@1|root,COG3266@2|Bacteria,COG5295@2|Bacteria,1VSP5@1239|Firmicutes,4HUK1@91061|Bacilli,3F4FY@33958|Lactobacillaceae",2|Bacteria,M,LPXTG-motif cell wall anchor domain protein,pelL,"GO:0001968,GO:0003674,GO:0005488,GO:0005515,GO:0008150,GO:0044877,GO:0051704,GO:0070051,GO:0098630,GO:0098743",-,"ko:K14194,ko:K14201,ko:K20276","ko02024,ko05150,map02024,map05150",-,-,-,"ko00000,ko00001",-,-,-,"Beta_helix,CBM_6,Gram_pos_anchor,Pec_lyase_C,RicinB_lectin_2,TrbI"
lp_1645,220668.lp_1645,1.10E-112,323,"2DPIQ@1|root,3328X@2|Bacteria,1VFYC@1239|Firmicutes,4HNHQ@91061|Bacilli,3F6VH@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AP2
lp_1648,220668.lp_1648,2.05E-179,499,"COG1131@1|root,COG1131@2|Bacteria,1TQIH@1239|Firmicutes,4HCEU@91061|Bacilli,3FC35@33958|Lactobacillaceae",2|Bacteria,V,"AAA domain, putative AbiEii toxin, Type IV TA system",ecsA_2,-,-,ko:K01990,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran
lp_1649,220668.lp_1649,0,973,"28MBB@1|root,2ZAPV@2|Bacteria,1TSZA@1239|Firmicutes,4HDKH@91061|Bacilli,3F4FX@33958|Lactobacillaceae",2|Bacteria,-,-,XK27_00765,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,-
lp_1652,220668.lp_1652,0,945,"COG0147@1|root,COG0147@2|Bacteria,1TQAP@1239|Firmicutes,4HB31@91061|Bacilli,3F4RG@33958|Lactobacillaceae",2|Bacteria,EH,"Anthranilate synthase component I, N terminal region",trpE,"GO:0000162,GO:0003674,GO:0003824,GO:0004049,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005950,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016829,GO:0016830,GO:0016833,GO:0018130,GO:0019438,GO:0019752,GO:0032991,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494","4.1.3.27,4.2.99.21,5.4.4.2","ko:K01657,ko:K04781,ko:K13503","ko00400,ko00405,ko01053,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01053,map01100,map01110,map01130,map01230,map02024,map02025",M00023,"R00985,R00986,R06602","RC00010,RC01549,RC02148,RC02414","ko00000,ko00001,ko00002,ko01000",-,-,-,"Anth_synt_I_N,Chorismate_bind"
lp_1653,220668.lp_1653,7.33E-135,382,"COG0512@1|root,COG0512@2|Bacteria,1TT9R@1239|Firmicutes,4H9XP@91061|Bacilli,3F4C7@33958|Lactobacillaceae",2|Bacteria,EH,Peptidase C26,trpG,-,"2.4.2.18,2.6.1.85,4.1.3.27","ko:K01658,ko:K01664,ko:K13497,ko:K13950","ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025",M00023,"R00985,R00986,R01073,R01716","RC00010,RC00440,RC01418,RC02148,RC02414","ko00000,ko00001,ko00002,ko01000",-,-,-,"GATase,Glycos_trans_3N,Glycos_transf_3"
lp_1654,220668.lp_1654,1.04E-226,626,"COG0547@1|root,COG0547@2|Bacteria,1TP8U@1239|Firmicutes,4H9KQ@91061|Bacilli,3F50X@33958|Lactobacillaceae",2|Bacteria,F,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),trpD,"GO:0000162,GO:0003674,GO:0003824,GO:0004048,GO:0004425,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005950,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016740,GO:0016757,GO:0016763,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0019752,GO:0032991,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494","2.4.2.18,4.1.3.27","ko:K00766,ko:K13497","ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00023,"R00985,R00986,R01073","RC00010,RC00440,RC02148,RC02414","ko00000,ko00001,ko00002,ko01000",-,-,-,"Glycos_trans_3N,Glycos_transf_3"
lp_1655,220668.lp_1655,2.52E-167,469,"COG0134@1|root,COG0134@2|Bacteria,1TR94@1239|Firmicutes,4HDZQ@91061|Bacilli,3F5AK@33958|Lactobacillaceae",2|Bacteria,E,Belongs to the TrpC family,trpC,"GO:0003674,GO:0003824,GO:0004425,GO:0016829,GO:0016830,GO:0016831","4.1.1.48,5.3.1.24","ko:K01609,ko:K01817,ko:K13498","ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00023,"R03508,R03509","RC00944,RC00945","ko00000,ko00001,ko00002,ko01000",-,-,-,IGPS
lp_1656,220668.lp_1656,1.57E-142,402,"COG0135@1|root,COG0135@2|Bacteria,1V6Y0@1239|Firmicutes,4HN68@91061|Bacilli,3F4B6@33958|Lactobacillaceae",2|Bacteria,E,Belongs to the TrpF family,trpF,"GO:0000162,GO:0003674,GO:0003824,GO:0004425,GO:0004640,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016829,GO:0016830,GO:0016831,GO:0016853,GO:0016860,GO:0016861,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","4.1.1.48,4.2.1.160,4.2.1.20,5.3.1.24","ko:K01696,ko:K01817,ko:K13498,ko:K22100","ko00260,ko00400,ko00790,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map00790,map01100,map01110,map01130,map01230","M00023,M00840","R00674,R02340,R02722,R03508,R03509,R11072","RC00209,RC00210,RC00700,RC00701,RC00944,RC00945,RC02868,RC03343","ko00000,ko00001,ko00002,ko01000",-,-,"iJN678.trpF,iPC815.YPO2205,iSBO_1134.SBO_1804,iSDY_1059.SDY_1330","IGPS,PRAI"
lp_1657,220668.lp_1657,3.93E-291,794,"COG0133@1|root,COG0133@2|Bacteria,1TPI3@1239|Firmicutes,4H9WC@91061|Bacilli,3F4DT@33958|Lactobacillaceae",2|Bacteria,E,The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine,trpB,"GO:0000162,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","4.2.1.20,5.3.1.24","ko:K01696,ko:K01817","ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230",M00023,"R00674,R02340,R02722,R03509","RC00209,RC00210,RC00700,RC00701,RC00945,RC02868","ko00000,ko00001,ko00002,ko01000",-,-,iYO844.BSU22640,PALP
lp_1658,220668.lp_1658,4.82E-183,509,"COG0159@1|root,COG0159@2|Bacteria,1TPXA@1239|Firmicutes,4HFQ8@91061|Bacilli,3F50S@33958|Lactobacillaceae",2|Bacteria,E,The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate,trpA,-,4.2.1.20,ko:K01695,"ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230",M00023,"R00674,R02340,R02722","RC00209,RC00210,RC00700,RC00701,RC02868","ko00000,ko00001,ko00002,ko01000",-,-,-,Trp_syntA
lp_1659,220668.lp_1659,1.02E-126,360,"COG1335@1|root,COG1335@2|Bacteria,1V347@1239|Firmicutes,4HGFM@91061|Bacilli,3F716@33958|Lactobacillaceae",2|Bacteria,Q,Isochorismatase family,entB,-,3.5.1.19,ko:K08281,"ko00760,ko01100,map00760,map01100",-,R01268,RC00100,"ko00000,ko00001,ko01000",-,-,-,Isochorismatase
lp_1660,220668.lp_1660,1.56E-230,634,"COG0604@1|root,COG0604@2|Bacteria,1UYWR@1239|Firmicutes,4HDC6@91061|Bacilli,3F5V1@33958|Lactobacillaceae",2|Bacteria,C,Zinc-binding dehydrogenase,-,-,1.6.5.5,ko:K00344,-,-,-,-,"ko00000,ko01000",-,-,-,"ADH_N,ADH_zinc_N"
lp_1662,220668.lp_1662,2.69E-95,278,"COG0454@1|root,COG0456@2|Bacteria,1UIVT@1239|Firmicutes,4ISTU@91061|Bacilli,3F7X6@33958|Lactobacillaceae",2|Bacteria,K,Acetyltransferase (GNAT) family,ybbJ,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_1
lp_1663,220668.lp_1663,4.84E-278,762,"COG0786@1|root,COG0786@2|Bacteria,1TS2B@1239|Firmicutes,4HCID@91061|Bacilli,3F5R6@33958|Lactobacillaceae",2|Bacteria,E,glutamate:sodium symporter activity,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_1664,220668.lp_1664,3.38E-274,749,"COG1473@1|root,COG1473@2|Bacteria,1TPD7@1239|Firmicutes,4H9WQ@91061|Bacilli,3FC42@33958|Lactobacillaceae",2|Bacteria,E,Peptidase family M20/M25/M40,hipO1,-,3.5.1.47,"ko:K01436,ko:K05823,ko:K21613","ko00300,ko01100,ko01110,ko01230,map00300,map01100,map01110,map01230",M00525,R02733,"RC00064,RC00300","ko00000,ko00001,ko00002,ko01000,ko01002",-,-,-,"M20_dimer,Peptidase_M20"
lp_1665,220668.lp_1665,3.53E-254,696,"COG1063@1|root,COG1063@2|Bacteria,1TPIW@1239|Firmicutes,4HB2G@91061|Bacilli,3F42F@33958|Lactobacillaceae",2|Bacteria,E,alcohol dehydrogenase,adhB,-,"1.1.1.1,1.1.1.14","ko:K00001,ko:K00008","ko00010,ko00040,ko00051,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00040,map00051,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220",M00014,"R00623,R00754,R00875,R01896,R02124,R04805,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310","RC00050,RC00085,RC00087,RC00088,RC00099,RC00102,RC00116,RC00649,RC01734,RC02273","ko00000,ko00001,ko00002,ko01000",-,-,-,"ADH_N,ADH_zinc_N"
